scorer,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000
bodyparts,indice,indice,indice,corazon,corazon,corazon,anular,anular,anular,menique,menique,menique
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
59,415.7164611816406,276.3165588378906,0.999160647392273,373.32525634765625,267.84100341796875,0.44462844729423523,361.8743896484375,259.1658630371094,0.9938943386077881,334.294189453125,212.03350830078125,0.9986289143562317
60,411.5445861816406,285.4318542480469,0.9958035945892334,368.6336669921875,278.7950134277344,0.48108237981796265,359.05596923828125,269.38958740234375,0.9879282116889954,336.5487060546875,222.53807067871094,0.9983694553375244
61,405.78643798828125,285.2413635253906,0.9982272386550903,370.5929260253906,281.4700012207031,0.4603798985481262,358.858642578125,272.7685241699219,0.9959515333175659,336.5696105957031,223.36807250976562,0.9983280301094055
62,404.6655578613281,287.1644287109375,0.9994803667068481,368.7468566894531,284.281005859375,0.45401281118392944,357.9212341308594,274.0624084472656,0.9979137778282166,335.5867614746094,225.2335662841797,0.9986498355865479
63,404.560302734375,287.1188659667969,0.9994626045227051,369.02130126953125,284.4912109375,0.44933372735977173,357.4918518066406,274.012939453125,0.9985741376876831,334.9051818847656,225.30166625976562,0.9986903071403503
64,404.46173095703125,287.0215148925781,0.9994990825653076,368.9560241699219,284.7680969238281,0.4517527222633362,357.5616455078125,274.28302001953125,0.9985939264297485,334.2360534667969,225.38278198242188,0.9984256029129028
65,407.8194885253906,283.2090148925781,0.9954392313957214,371.4947814941406,278.29595947265625,0.6310063004493713,358.61444091796875,267.2263488769531,0.9951215982437134,331.1872253417969,222.4771728515625,0.9906430244445801
66,407.890869140625,280.00689697265625,0.9973702430725098,372.56329345703125,273.7233581542969,0.6325013637542725,360.4985656738281,263.5262756347656,0.9921078681945801,330.0805358886719,214.96896362304688,0.993451714515686
67,409.9984130859375,263.87823486328125,0.9925682544708252,374.1332092285156,253.02737426757812,0.633012592792511,363.88751220703125,245.349853515625,0.8582684993743896,329.4792785644531,200.7481231689453,0.9929420351982117
68,410.1053771972656,243.31756591796875,0.9980675578117371,371.2964782714844,232.22703552246094,0.17923808097839355,356.0726318359375,220.6036834716797,0.8553521633148193,326.5753479003906,179.9132843017578,0.9980472326278687
69,407.5066223144531,228.90370178222656,0.9975662231445312,371.0750427246094,218.3292999267578,0.335681676864624,357.28668212890625,210.43673706054688,0.8987082242965698,324.75335693359375,165.03028869628906,0.9979379177093506
70,403.7315673828125,185.14089965820312,0.9974567890167236,364.029541015625,169.84335327148438,0.22864684462547302,351.84783935546875,157.6656036376953,0.7051913142204285,319.31439208984375,123.86943817138672,0.9890484809875488
71,405.1231994628906,172.56155395507812,0.9975302815437317,365.0082092285156,153.82785034179688,0.2770231366157532,351.3739929199219,141.139404296875,0.7644305229187012,319.9585876464844,110.91744232177734,0.9789307117462158
72,405.5849914550781,151.38619995117188,0.9986146092414856,365.88800048828125,125.47420501708984,0.06958606839179993,350.8442687988281,115.30353546142578,0.159624844789505,320.6824645996094,83.67276763916016,0.9702854156494141
73,405.2293701171875,139.1321563720703,0.9962272644042969,354.34832763671875,109.52030181884766,0.04102244973182678,348.97705078125,102.45178985595703,0.43227338790893555,319.9544372558594,76.69129180908203,0.9883744716644287
74,407.26373291015625,133.1602783203125,0.9990028738975525,366.95452880859375,108.23805236816406,0.06515488028526306,350.8316345214844,94.08940124511719,0.4809674322605133,321.3984375,66.55918884277344,0.9961237907409668
75,406.02130126953125,111.55520629882812,0.9976593255996704,392.0868835449219,106.51255798339844,0.06462189555168152,352.3133544921875,69.14851379394531,0.5457759499549866,324.6857604980469,44.83218002319336,0.9787737727165222
76,404.9414367675781,106.14064025878906,0.9978957176208496,366.16534423828125,80.61157989501953,0.0874207615852356,352.53521728515625,66.33732604980469,0.8607900142669678,324.9626770019531,35.71873474121094,0.994426965713501
77,400.28887939453125,102.8219223022461,0.9996379613876343,358.4959411621094,75.67862701416016,0.6191573143005371,348.5323791503906,62.56665802001953,0.9833917617797852,323.5960998535156,32.34361267089844,0.9904240369796753
78,394.1169128417969,101.685546875,0.9981842041015625,357.4701843261719,76.85488891601562,0.44858354330062866,348.16015625,62.486629486083984,0.9532437324523926,322.6224365234375,31.4936580657959,0.9900530576705933
79,389.1624755859375,103.92013549804688,0.9992449283599854,355.1643981933594,77.82159423828125,0.41151848435401917,342.77398681640625,64.32746887207031,0.9765505790710449,320.8139953613281,31.332441329956055,0.9919098019599915
80,387.1000671386719,109.15303039550781,0.9972414970397949,375.1556396484375,105.8531494140625,0.11985427141189575,341.6007995605469,74.61494445800781,0.9676660299301147,320.4269714355469,36.02734375,0.9961656332015991
81,385.66973876953125,109.92234802246094,0.9960201978683472,374.09893798828125,105.81986999511719,0.11128860712051392,340.5558776855469,76.31587982177734,0.9871070981025696,320.11083984375,37.181705474853516,0.994459867477417
82,385.8690185546875,110.55372619628906,0.9952701330184937,375.9677429199219,111.28780364990234,0.19447898864746094,340.1602783203125,78.20173645019531,0.9811439514160156,319.82135009765625,38.300514221191406,0.9896535873413086
83,385.81060791015625,110.87847900390625,0.9964315891265869,375.82421875,111.37723541259766,0.1939469873905182,339.748046875,79.13813781738281,0.990706205368042,319.5032653808594,42.80217361450195,0.9919381141662598
84,385.4226989746094,110.46566009521484,0.9973849654197693,365.1002502441406,100.16187286376953,0.2597212791442871,341.7726745605469,81.11026000976562,0.9958537817001343,319.2074890136719,42.843074798583984,0.9933444261550903
85,389.7988586425781,111.39075469970703,0.9993014335632324,355.50274658203125,99.19596099853516,0.9613287448883057,344.2847900390625,81.94375610351562,0.998772144317627,322.5257873535156,41.656185150146484,0.9973368644714355
86,394.88336181640625,113.13137817382812,0.998998761177063,362.3006286621094,101.46478271484375,0.9716507196426392,345.4419860839844,84.66986083984375,0.9973448514938354,324.7488098144531,43.57956314086914,0.9895056486129761
