scorer,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,425.0516052246094,214.90390014648438,0.9675040245056152,395.624755859375,241.68247985839844,0.8678991794586182,352.8464660644531,244.93447875976562,0.9611429572105408,301.2545166015625,213.35446166992188,0.989230215549469
43,430.8359680175781,210.8602752685547,0.9933953285217285,408.4615173339844,232.16233825683594,0.9091329574584961,362.80218505859375,238.7988739013672,0.9170482158660889,302.0390930175781,210.60842895507812,0.9895731210708618
44,437.0703430175781,206.04763793945312,0.9894375801086426,422.2086486816406,223.94081115722656,0.9779421091079712,388.37335205078125,223.8400115966797,0.9419909715652466,312.0149230957031,202.84164428710938,0.9609873294830322
45,442.8855285644531,202.8513946533203,0.9258238077163696,428.78216552734375,212.0285186767578,0.9165163040161133,392.2759704589844,211.90292358398438,0.918486475944519,326.2292175292969,191.1926727294922,0.967314600944519
46,442.7297058105469,202.63954162597656,0.9352796077728271,428.414794921875,211.08482360839844,0.9209175109863281,395.372314453125,211.26071166992188,0.9356081485748291,328.5936279296875,192.4137725830078,0.9593634605407715
47,444.36468505859375,201.06222534179688,0.951170027256012,429.6817932128906,210.466064453125,0.9124876260757446,394.5238952636719,210.5124969482422,0.9355269074440002,327.5466003417969,191.87478637695312,0.964882493019104
48,444.93499755859375,200.7560272216797,0.9547999501228333,430.1509704589844,210.13677978515625,0.913506805896759,395.4205017089844,210.1521453857422,0.9359076023101807,327.9025573730469,191.6702423095703,0.965831995010376
49,446.00604248046875,196.71987915039062,0.9807902574539185,430.7814636230469,208.83270263671875,0.9223828315734863,394.8096008300781,208.88442993164062,0.9332848787307739,325.1824035644531,191.6605682373047,0.9700565338134766
50,447.6040954589844,194.2367706298828,0.9934314489364624,429.9068908691406,207.3124237060547,0.9213802218437195,394.0855407714844,209.79446411132812,0.9323810935020447,319.6012268066406,192.7738494873047,0.9573962688446045
51,447.48626708984375,193.10781860351562,0.9949246644973755,428.72833251953125,207.4830780029297,0.9248878955841064,392.1034851074219,210.55322265625,0.9290661215782166,314.79571533203125,196.12991333007812,0.9599560499191284
