scorer,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000
bodyparts,indice,indice,indice,corazon,corazon,corazon,anular,anular,anular,menique,menique,menique
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
60,446.2247009277344,303.3173522949219,0.9471191167831421,444.4549560546875,331.439208984375,0.997661828994751,460.14349365234375,325.3685302734375,0.8387923240661621,500.35430908203125,245.93212890625,0.7049616575241089
61,468.0480041503906,303.4463806152344,0.918416440486908,463.7621765136719,332.2180480957031,0.9981416463851929,477.5080871582031,325.7770690917969,0.9313318729400635,514.3084106445312,242.9094696044922,0.5462637543678284
62,473.6306457519531,324.5995178222656,0.5126932859420776,482.7059326171875,331.0360412597656,0.9989003539085388,494.757080078125,323.9747619628906,0.9841079711914062,530.759521484375,237.13479614257812,0.4325067102909088
63,497.5105285644531,322.7322998046875,0.5252129435539246,506.6917724609375,326.5360412597656,0.9968678951263428,516.830810546875,320.03564453125,0.9631688594818115,548.1195678710938,232.59848022460938,0.5694512724876404
64,505.5500183105469,321.8973693847656,0.2398342788219452,512.515380859375,323.265380859375,0.9987325668334961,524.5510864257812,316.4342346191406,0.9677773714065552,557.1961059570312,230.01419067382812,0.637998104095459
65,523.1685791015625,287.5318908691406,0.2892741560935974,519.3800659179688,318.51873779296875,0.9820828437805176,528.9491577148438,310.8514099121094,0.9068428874015808,562.4859619140625,226.77903747558594,0.7788488864898682
66,522.4269409179688,287.325927734375,0.36828139424324036,518.7174072265625,317.8280029296875,0.9835363626480103,527.06787109375,310.7823486328125,0.8037631511688232,561.826416015625,226.70831298828125,0.8292755484580994
67,519.7642822265625,312.8842468261719,0.20649069547653198,521.1262817382812,316.33306884765625,0.9561069011688232,527.9194946289062,310.97930908203125,0.7131252288818359,562.8569946289062,225.2815399169922,0.8401070237159729
68,522.77490234375,312.62579345703125,0.15082255005836487,523.0322265625,316.0812072753906,0.9702366590499878,529.68896484375,310.706787109375,0.7953711152076721,563.0853271484375,221.52487182617188,0.8037388324737549
69,526.1233520507812,318.0978698730469,0.1844596266746521,525.5585327148438,316.1582946777344,0.9599429965019226,530.4535522460938,310.64276123046875,0.5844265222549438,562.4849853515625,223.38583374023438,0.801880419254303
70,520.1729125976562,320.6009521484375,0.6404150724411011,519.8400268554688,323.11309814453125,0.9038379192352295,558.8956909179688,275.61614990234375,0.5632498264312744,556.4736328125,216.62046813964844,0.7283194661140442
71,519.3436889648438,321.30194091796875,0.8016343116760254,518.1149291992188,323.7025146484375,0.9374421238899231,556.5286254882812,276.1187438964844,0.40170106291770935,561.3555297851562,228.1625213623047,0.6752004623413086
72,519.440185546875,321.9910888671875,0.840080201625824,517.7864379882812,324.7539978027344,0.9334721565246582,557.4990844726562,276.16729736328125,0.5253968834877014,560.9998779296875,228.53477478027344,0.5965016484260559
73,519.1118774414062,322.1367492675781,0.878682553768158,517.682861328125,325.1372985839844,0.9313566088676453,558.4730834960938,277.52215576171875,0.7559963464736938,561.8261108398438,229.6001739501953,0.6323714256286621
74,519.5845336914062,322.39703369140625,0.8876757621765137,518.0137939453125,325.44085693359375,0.9095642566680908,560.4019775390625,273.8535461425781,0.8310506343841553,562.7063598632812,229.3098907470703,0.7357168793678284
75,538.5826416015625,301.59393310546875,0.6383324861526489,533.12158203125,328.4276123046875,0.9771498441696167,573.0750732421875,280.6185302734375,0.527884840965271,579.1801147460938,237.93955993652344,0.748185396194458
76,546.205322265625,302.2619934082031,0.8459903001785278,536.8432006835938,333.30780029296875,0.9861551523208618,544.1304321289062,326.76837158203125,0.9011512994766235,580.0352172851562,240.96229553222656,0.48648056387901306
77,549.0711059570312,306.1972961425781,0.9455538988113403,540.2786254882812,335.5528259277344,0.9966657161712646,551.490966796875,333.484619140625,0.7458573579788208,587.0247802734375,245.55332946777344,0.6331055164337158
78,550.11962890625,306.9381103515625,0.9778292179107666,541.1254272460938,341.1821594238281,0.9974402785301208,551.173583984375,336.5042419433594,0.5621388554573059,573.5740966796875,220.74859619140625,0.4851393401622772
79,547.8344116210938,308.66766357421875,0.9857100248336792,537.4318237304688,344.6297912597656,0.9937176704406738,546.3650512695312,339.1384582519531,0.8148259520530701,588.3555908203125,257.9541320800781,0.6518113613128662
80,512.4636840820312,319.870849609375,0.9372822642326355,503.6752624511719,348.8353271484375,0.9928101301193237,513.2085571289062,341.5094299316406,0.6439747214317322,563.97900390625,265.2113037109375,0.8686548471450806
81,494.9823913574219,318.55413818359375,0.9419769048690796,487.3079833984375,349.0667724609375,0.9929397106170654,534.1029663085938,308.9702453613281,0.676514208316803,548.2180786132812,268.2561950683594,0.9425972700119019
82,476.8931884765625,319.2334899902344,0.9837675094604492,468.3907470703125,347.5754699707031,0.9945772886276245,516.6138305664062,312.66363525390625,0.8694919943809509,532.0542602539062,268.2750244140625,0.9253572225570679
83,457.99310302734375,316.5391845703125,0.9762439727783203,447.14178466796875,346.3467102050781,0.9881093502044678,500.11456298828125,311.0962219238281,0.9774434566497803,514.5339965820312,267.7599182128906,0.8491561412811279
84,421.4903259277344,338.4172058105469,0.9759467840194702,424.9950866699219,341.7042236328125,0.9896029233932495,477.9459228515625,305.5437927246094,0.9522030353546143,498.14166259765625,265.2901611328125,0.8689475059509277
85,334.66802978515625,320.4832458496094,0.9904370307922363,379.0762939453125,309.1504211425781,0.9891119003295898,399.2980651855469,299.34246826171875,0.96776282787323,423.17596435546875,262.44720458984375,0.9570021629333496
86,319.5373229980469,316.9798278808594,0.9771003723144531,363.67095947265625,306.2375793457031,0.9937271475791931,384.5460205078125,293.4095153808594,0.9867063760757446,407.9034423828125,262.49053955078125,0.9878791570663452
87,299.38372802734375,309.1799621582031,0.9992721080780029,344.2984924316406,300.6289978027344,0.9973934888839722,362.6502380371094,294.867919921875,0.9726394414901733,388.6527099609375,258.9231262207031,0.9675920605659485
