scorer,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000
bodyparts,indice,indice,indice
coords,x,y,likelihood
69,472.8764343261719,159.30667114257812,0.9983128309249878
70,494.88348388671875,148.20249938964844,0.9963338375091553
71,500.1763000488281,147.1237030029297,0.9981035590171814
72,501.4691162109375,147.54750061035156,0.9976141452789307
73,503.03350830078125,148.489990234375,0.9971895813941956
74,504.98931884765625,149.858154296875,0.9965521097183228
75,508.7742004394531,153.27508544921875,0.9927741289138794
76,508.6995544433594,153.8114776611328,0.9940152168273926
77,508.65850830078125,153.96237182617188,0.993711531162262
78,508.43121337890625,153.85829162597656,0.9939674139022827
79,499.7279968261719,155.6854248046875,0.992937445640564
80,457.3594665527344,179.300537109375,0.9989275932312012
81,423.45953369140625,205.87823486328125,0.9979760646820068
82,409.37078857421875,216.8089141845703,0.9968937039375305
83,385.5923156738281,241.29110717773438,0.9980384111404419
84,369.6865234375,260.23095703125,0.9981781840324402
85,352.5552062988281,276.7398376464844,0.9974202513694763
86,347.0083923339844,284.20440673828125,0.9932996034622192
87,344.9299011230469,287.5630187988281,0.9974110126495361
88,343.4155578613281,289.73016357421875,0.9985121488571167
89,344.9043273925781,290.4880065917969,0.9988085031509399
90,348.21014404296875,288.0961608886719,0.9961239099502563
91,348.4620056152344,288.35736083984375,0.9964499473571777
92,348.24639892578125,288.3113098144531,0.9963710308074951
93,348.0672607421875,288.2651062011719,0.9967681169509888
94,348.13055419921875,288.1015930175781,0.9967046976089478
95,346.3124694824219,287.5559387207031,0.9960484504699707
96,348.3628845214844,288.3088073730469,0.9960263967514038
97,348.0858459472656,288.6127624511719,0.9963868856430054
98,347.56951904296875,288.5405578613281,0.9971150159835815
99,341.3171081542969,277.09429931640625,0.9987783432006836
100,320.58160400390625,222.4470672607422,0.9914761781692505
101,310.85687255859375,183.06698608398438,0.9967832565307617
102,305.38690185546875,167.1052703857422,0.9949642419815063
103,294.50640869140625,141.93496704101562,0.9964746236801147
104,287.7693176269531,127.58231353759766,0.9939504265785217
105,285.2602233886719,118.75302124023438,0.9956508278846741
106,294.5995788574219,120.03319549560547,0.9982006549835205
107,298.8812255859375,119.87734985351562,0.9911453723907471
108,298.8559875488281,119.6298599243164,0.9909263849258423
109,298.5455322265625,119.79893493652344,0.9914181232452393
110,298.76202392578125,120.06079864501953,0.990972638130188
111,298.5820007324219,123.78903198242188,0.9910596609115601
112,296.6316833496094,128.53713989257812,0.9981282949447632
113,290.853271484375,140.38250732421875,0.9955841302871704
114,287.6419677734375,149.5819854736328,0.9954859614372253
115,292.2777099609375,193.8018341064453,0.9981680512428284
116,300.94061279296875,224.5406951904297,0.9945937395095825
117,308.8976745605469,240.06124877929688,0.998370885848999
118,317.9019775390625,262.185546875,0.9953062534332275
119,323.112060546875,273.046630859375,0.9981905221939087
120,329.78521728515625,291.6416015625,0.9981033802032471
121,337.7682189941406,294.0400695800781,0.9979045391082764
122,341.16851806640625,294.7545166015625,0.9989713430404663
123,343.4866027832031,294.93743896484375,0.9991328716278076
124,344.88909912109375,294.30706787109375,0.9990580677986145
125,344.7181396484375,294.6338806152344,0.9990602731704712
126,344.66558837890625,294.54730224609375,0.9990884065628052
127,344.70184326171875,294.60955810546875,0.9991016387939453
128,344.6619567871094,294.4781494140625,0.9990630745887756
129,344.44219970703125,294.21893310546875,0.999090313911438
130,344.6058044433594,294.2020263671875,0.9990249872207642
131,344.3389587402344,294.21246337890625,0.9990500211715698
132,344.6452331542969,294.1359558105469,0.9990543723106384
133,344.469970703125,294.1564025878906,0.9990532398223877
134,344.41790771484375,294.1864929199219,0.9990819096565247
135,344.1662902832031,294.0885925292969,0.9990065097808838
136,344.2112121582031,294.1278991699219,0.999065637588501
137,344.3141784667969,294.1375732421875,0.9990443587303162
138,344.444580078125,294.1326904296875,0.9991213083267212
139,344.4773254394531,294.2200622558594,0.9991204738616943
140,344.6139221191406,294.16375732421875,0.9990831613540649
141,344.34259033203125,294.2995300292969,0.9990605115890503
142,344.38385009765625,294.1939392089844,0.998991847038269
143,344.6094970703125,294.2167663574219,0.9988941550254822
144,344.5765686035156,294.05706787109375,0.9988682866096497
145,344.04974365234375,294.1607971191406,0.9990956783294678
146,344.1256103515625,294.0528259277344,0.9989824295043945
147,344.0716247558594,294.2510070800781,0.9990259408950806
148,344.27874755859375,294.1681213378906,0.9990232586860657
149,344.0232238769531,294.2239990234375,0.999077320098877
150,344.1683044433594,294.0345153808594,0.9988763332366943
151,344.0906066894531,294.0883483886719,0.9989171028137207
152,344.22509765625,294.1194763183594,0.998767614364624
153,341.5599060058594,294.28717041015625,0.9990755319595337
154,340.74090576171875,294.96405029296875,0.9989846348762512
155,320.99298095703125,296.73284912109375,0.9949496984481812
156,294.2035217285156,305.5506591796875,0.9979986548423767
157,279.6805419921875,308.7898254394531,0.9990673065185547
158,256.6959533691406,310.8765869140625,0.9959203600883484
159,229.55604553222656,315.5184020996094,0.9969707727432251
160,169.28021240234375,337.3403625488281,0.9985154867172241
161,147.25869750976562,357.1585998535156,0.9988694190979004
162,139.70472717285156,368.0517883300781,0.9965552687644958
163,144.55075073242188,392.6182556152344,0.994757890701294
164,149.78440856933594,404.7991027832031,0.9988983869552612
165,170.71363830566406,437.6982727050781,0.9972060918807983
166,183.0888214111328,454.125,0.9983038902282715
167,192.78302001953125,468.0610046386719,0.997704267501831
168,196.10951232910156,472.0448913574219,0.9981794953346252
169,200.88739013671875,475.5346374511719,0.99344801902771
170,217.23448181152344,480.8450927734375,0.9974701404571533
171,224.29983520507812,482.2160339355469,0.9974318742752075
172,229.05186462402344,483.3879699707031,0.9990823864936829
173,234.45938110351562,483.27447509765625,0.996927797794342
174,249.09165954589844,484.4958190917969,0.9987272024154663
175,248.77447509765625,484.8537902832031,0.9985402226448059
176,248.5717010498047,484.53375244140625,0.9987248778343201
177,248.55474853515625,484.5712890625,0.9987008571624756
178,248.35353088378906,484.685791015625,0.9986834526062012
179,248.3853302001953,484.5340576171875,0.9985584020614624
180,248.59942626953125,484.5814514160156,0.9986236095428467
181,248.4480438232422,484.2291259765625,0.9986423254013062
182,248.47718811035156,484.2235412597656,0.9985547065734863
183,248.38040161132812,484.3179626464844,0.9985572099685669
184,248.50149536132812,484.37109375,0.9985418319702148
185,248.133544921875,484.3501892089844,0.9986978769302368
186,248.29920959472656,484.3428955078125,0.9985246062278748
187,248.12281799316406,484.6406555175781,0.9986470937728882
188,248.1155242919922,484.4532470703125,0.9984803199768066
189,248.3721466064453,484.45953369140625,0.9984124898910522
